,bug,Código.do.Município,GEOCODIGO,Município,Estado,ano,Prestadores,Serviços,"popTotalAtendida",AG002...Quantidade.de.ligações.ativas.de.água..Ligações.,AG003...Quantidade.de.economias.ativas.de.água..Economias.,AG004...Quantidade.de.ligações.ativas.de.água.micromedidas..Ligações.,AG005...Extensão.da.rede.de.água..km.,AG006...Volume.de.água.produzido..1000.m..ano.,AG007...Volume.de.água.tratada.em.ETAs..1000.m..ano.,AG008...Volume.de.água.micromedido..1000.m..ano.,AG010...Volume.de.água.consumido..1000.m..ano.,AG011...Volume.de.água.faturado..1000.m..ano.,AG012...Volume.de.água.macromedido..1000.m..ano.,AG013...Quantidade.de.economias.residenciais.ativas.de.água..Economias.,AG014...Quantidade.de.economias.ativas.de.água.micromedidas..Economias.,AG015...Volume.de.água.tratada.por.simples.desinfecção..1000.m..ano.,AG017...Volume.de.água.bruta.exportado..1000.m..ano.,AG018...Volume.de.água.tratada.importado..1000.m..ano.,AG019...Volume.de.água.tratada.exportado..1000.m..ano.,AG020...Volume.micromedido.nas.economias.residenciais.ativas.de.água..1000.m..ano.,AG021...Quantidade.de.ligações.totais.de.água..Ligações.,AG022...Quantidade.de.economias.residenciais.ativas.de.água.micromedidas..Economias.,AG024...Volume.de.serviço..1000.m..ano.,popUrbanaAtendida,AG027...Volume.de.água.fluoretada..1000.m..ano.,AG028...Consumo.total.de.energia.elétrica.nos.sistemas.de.água..1000.kWh.ano.
10,10,220157,2201572,Belém do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2148.0,701.0,707.0,701.0,14.49,111.58,111.58,61.76,64.91,93.28,0.0,667.0,707.0,0.0,0.0,0.0,0.0,58.19,822.0,667.0,4.46,1649.0,0.0,21.16
11,11,220170,2201705,Bertolínia,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4804.0,1407.0,1426.0,1333.0,24.76,361.5,0.0,166.45,201.01,230.05,0.0,1357.0,1351.0,361.5,0.0,0.0,0.0,154.32,1810.0,1286.0,0.0,3856.0,0.0,371.68
12,12,220173,2201739,Betânia do Piauí,PI,2015,[22017340] Prefeitura Municipal de Betânia do Piaui - PM,Res Sólidos,,,,,,,,,,,,,,,,,,,,,,NaN,,
13,13,220180,2201804,Bocaina,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2355.0,799.0,799.0,675.0,9.04,169.43,0.0,53.67,90.94,111.14,0.0,767.0,675.0,169.43,0.0,0.0,0.0,46.99,898.0,646.0,0.0,1729.0,0.0,113.68
14,14,220190,2201903,Bom Jesus,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,23447.0,7464.0,7946.0,5379.0,26.48,1993.79,0.0,666.17,1088.37,1209.68,0.0,7105.0,5720.0,1993.79,0.0,0.0,0.0,588.03,8447.0,5233.0,0.0,18471.0,0.0,1667.79
15,15,220192,2201929,Bonfim do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1436.0,423.0,423.0,420.0,6.0,89.43,89.43,44.02,46.94,60.41,0.0,404.0,420.0,0.0,0.0,0.0,0.0,40.22,636.0,401.0,5.18,1436.0,0.0,122.18
16,16,220198,2201988,Brejo do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP,Água; Res Sólidos,2033.0,679.0,691.0,671.0,6.71,136.04,0.0,63.19,72.45,91.45,0.0,658.0,683.0,136.04,0.0,0.0,0.0,58.61,825.0,651.0,0.0,1398.0,0.0,53.22
17,17,220202,2202026,Buriti dos Montes,PI,2015,[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM,Água; Res Sólidos,5598.0,1567.0,1567.0,0.0,58.43,1314.0,0.0,0.0,1128.0,0.0,0.0,1204.0,0.0,889.0,0.0,0.0,0.0,0.0,1618.0,0.0,0.0,2486.0,0.0,
18,18,220207,2202075,Cajazeiras do Piauí,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
19,19,220209,2202091,Caldeirão Grande do Piauí,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
20,20,220210,2202109,Campinas do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2259.0,761.0,761.0,759.0,8.17,165.12,0.0,78.68,85.33,106.62,0.0,715.0,759.0,165.12,0.0,0.0,0.0,70.8,944.0,714.0,0.0,1794.0,0.0,126.89
21,21,220211,2202117,Campo Alegre do Fidalgo,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
22,22,220213,2202133,Campo Grande do Piauí,PI,2015,[22021311] Prefeitura Municipal de Campo Grande do Piauí - PMCGP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do Piauí - PM,Água e Esgoto; Água; Res Sólidos,2810.0,820.0,946.0,246.0,20.26,169.26,0.0,18.32,91.79,101.34,0.0,802.0,253.0,109.26,0.0,0.0,0.0,15.37,1184.0,217.0,0.0,1587.0,0.0,16.42
23,23,220225,2202251,Canavieira,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2064.0,598.0,601.0,469.0,8.31,137.1,0.0,60.47,85.47,93.23,0.0,575.0,472.0,137.1,0.0,0.0,0.0,56.64,914.0,449.0,0.0,1687.0,0.0,94.39
24,24,220230,2202307,Canto do Buriti,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI,Água; Res Sólidos,13866.0,4531.0,4569.0,4484.0,36.15,1147.07,0.0,404.67,600.45,709.83,0.0,4189.0,4522.0,1147.07,0.0,0.0,0.0,366.93,5429.0,4151.0,0.0,11220.0,0.0,505.56
25,25,220245,2202455,Capitão Gervásio Oliveira,PI,2015,[22024511] Prefeitura Municipal de Capitão Gervásio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO,Água; Res Sólidos,1201.0,500.0,500.0,0.0,15.0,135.9,0.0,0.0,120.9,0.0,0.0,450.0,0.0,135.9,0.0,0.0,0.0,0.0,790.0,0.0,15.0,1201.0,135.9,30.0
26,26,220250,2202505,Caracol,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3109.0,855.0,870.0,783.0,15.41,193.18,0.0,29.59,99.16,121.09,0.0,811.0,797.0,193.18,0.0,0.0,0.0,27.91,1450.0,746.0,0.0,3109.0,0.0,194.0
27,27,220255,2202554,Caridade do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2127.0,584.0,585.0,499.0,7.85,105.55,0.0,46.31,60.52,78.28,0.0,554.0,500.0,105.55,0.0,0.0,0.0,43.31,782.0,481.0,0.0,1593.0,0.0,276.46
28,28,220260,2202604,Castelo do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC,Água; Res Sólidos,13278.0,4006.0,4084.0,3980.0,29.17,902.82,0.0,423.24,463.4,573.94,902.82,3860.0,4058.0,902.82,0.0,0.0,0.0,404.96,4835.0,3838.0,0.0,11085.0,0.0,377.84
29,29,220275,2202752,Colônia do Gurguéia,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2357.0,692.0,693.0,450.0,18.26,171.71,0.0,38.29,90.45,103.54,0.0,662.0,451.0,171.71,0.0,0.0,0.0,35.21,1725.0,438.0,0.0,2357.0,0.0,246.67
30,30,220277,2202778,Colônia do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3348.0,1001.0,1003.0,996.0,14.04,235.89,0.0,119.62,125.52,151.12,138.32,951.0,997.0,235.89,0.0,0.0,0.0,112.75,1330.0,951.0,0.0,2610.0,0.0,81.36
31,31,220280,2202802,Conceição do Canindé,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA,Água; Res Sólidos,3245.0,991.0,991.0,872.0,15.57,248.26,0.0,98.75,127.7,148.49,0.0,960.0,872.0,248.26,0.0,0.0,0.0,94.95,1180.0,843.0,0.0,2335.0,0.0,232.67
32,32,220285,2202851,Coronel José Dias,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2460.0,751.0,756.0,750.0,6.0,163.01,163.01,83.75,84.98,110.25,163.01,713.0,755.0,0.0,0.0,0.0,0.0,76.14,1006.0,712.0,8.53,1473.0,0.0,241.54
33,33,220310,2203107,Cristino Castro,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,7883.0,2178.0,2259.0,1644.0,16.41,523.94,0.0,178.41,285.86,330.3,0.0,2102.0,1710.0,523.94,0.0,0.0,0.0,170.79,2918.0,1624.0,0.0,7246.0,0.0,323.68
34,34,220320,2203206,Curimatá,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,9547.0,2725.0,2813.0,1967.0,31.91,696.0,561.78,216.48,347.33,401.76,0.0,2652.0,2036.0,134.22,0.0,0.0,0.0,201.38,3518.0,1913.0,29.67,7138.0,0.0,227.7
35,35,220323,2203230,Currais,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
36,36,220327,2203271,Curral Novo do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1585.0,444.0,446.0,439.0,6.19,81.02,0.0,36.44,43.88,59.33,0.0,426.0,441.0,81.02,0.0,0.0,0.0,34.68,617.0,423.0,0.0,1404.0,0.0,209.07
37,37,220335,2203354,Dirceu Arcoverde,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2516.0,749.0,760.0,717.0,5.67,143.4,143.4,60.38,74.21,102.67,143.4,723.0,727.0,0.0,0.0,0.0,0.0,56.82,1067.0,699.0,7.98,2374.0,0.0,212.53
38,38,220340,2203404,Dom Expedito Lopes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL,Água; Res Sólidos,4437.0,1382.0,1394.0,1378.0,8.04,238.64,0.0,155.36,176.02,207.25,0.0,1305.0,1390.0,238.64,0.0,0.0,0.0,146.0,1585.0,1301.0,0.0,3582.0,0.0,351.03
39,39,220342,2203420,Domingos Mourão,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1297.0,423.0,427.0,406.0,5.94,92.3,0.0,38.47,47.5,62.67,0.0,386.0,407.0,92.3,0.0,0.0,0.0,34.32,536.0,379.0,0.0,940.0,0.0,38.07
40,40,220345,2203453,Dom Inocêncio,PI,2015,[22034540] Secretaria Municipal de Obras - SMO,Res Sólidos,,,,,,,,,,,,,,,,,,,,,,NaN,,
41,41,220360,2203602,Eliseu Martins,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4638.0,1407.0,1425.0,1060.0,22.98,371.73,0.0,114.91,191.64,213.86,0.59,1356.0,1077.0,371.73,0.0,0.0,0.0,105.04,1830.0,1022.0,0.0,3839.0,0.0,291.92
42,42,220375,2203750,Fartura do Piauí,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
43,43,220380,2203800,Flores do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2504.0,835.0,837.0,804.0,15.27,153.08,0.0,87.55,100.9,120.18,0.0,800.0,806.0,153.08,0.0,0.0,0.0,81.55,1040.0,770.0,0.0,1950.0,0.0,193.7
44,44,220385,2203859,Floresta do Piauí,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
45,45,220415,2204154,Francisco Macedo,PI,2015,[22041540] Prefeitura Municipal de Francisco Macedo - PMFM,Res Sólidos,,,,,,,,,,,,,,,,,,,,,,NaN,,
46,46,220420,2204204,Francisco Santos,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS,Água; Res Sólidos,4088.0,1216.0,1216.0,1207.0,9.17,241.53,0.0,101.92,123.75,176.69,0.0,1166.0,1207.0,241.53,0.0,0.0,0.0,96.27,1480.0,1158.0,0.0,4088.0,0.0,201.01
47,47,220430,2204303,Fronteiras,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF,Água; Res Sólidos,9126.0,2664.0,2723.0,2378.0,17.01,514.78,514.78,234.46,323.54,385.79,0.37,2578.0,2435.0,0.0,0.0,0.0,0.0,214.44,3221.0,2315.0,20.59,7269.0,0.0,84.47
48,48,220435,2204352,Geminiano,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
49,49,220455,2204550,Guaribas,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2340.0,654.0,654.0,585.0,10.74,136.2,0.0,53.74,70.95,88.85,136.2,629.0,585.0,136.2,0.0,0.0,0.0,50.2,896.0,564.0,0.0,1265.0,0.0,249.22
50,50,220470,2204709,Inhuma,PI,2015,[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI,Esgoto; Água; Res Sólidos,9923.0,3020.0,3052.0,2994.0,39.45,614.95,0.0,313.86,351.85,429.47,0.0,2827.0,3025.0,614.95,0.0,0.0,0.0,293.94,3655.0,2802.0,0.0,7193.0,0.0,501.63
51,51,220480,2204808,Ipiranga do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI,Água; Res Sólidos,6228.0,1806.0,1808.0,1524.0,37.85,417.14,0.0,135.88,216.76,252.05,0.0,1730.0,1526.0,417.14,0.0,0.0,0.0,130.32,2473.0,1476.0,0.0,5766.0,0.0,386.11
52,52,220490,2204907,Isaías Coelho,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2749.0,805.0,806.0,705.0,10.76,206.19,0.0,78.1,106.09,121.08,0.0,751.0,706.0,206.19,0.0,0.0,0.0,69.46,1055.0,663.0,0.0,1859.0,0.0,197.85
53,53,220500,2205003,Itainópolis,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3834.0,1295.0,1314.0,1223.0,9.3,285.66,0.0,116.99,149.66,186.77,0.0,1202.0,1241.0,285.66,0.0,0.0,0.0,103.6,1503.0,1143.0,0.0,2521.0,0.0,78.63
54,54,220510,2205102,Itaueira,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI,Água; Res Sólidos,8119.0,2538.0,2553.0,2354.0,19.74,537.98,0.0,214.05,288.44,360.6,0.0,2438.0,2369.0,537.98,0.0,0.0,0.0,200.08,2840.0,2269.0,0.0,5882.0,0.0,666.94
55,55,220515,2205151,Jacobina do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2608.0,841.0,855.0,723.0,5.44,166.92,0.0,66.01,88.28,113.31,0.0,788.0,737.0,166.92,0.0,0.0,0.0,60.33,1044.0,676.0,0.0,992.0,0.0,264.0
56,56,220520,2205201,Jaicós,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,8856.0,2735.0,2749.0,2677.0,42.12,366.42,366.42,169.51,198.81,247.74,0.0,2620.0,2691.0,0.0,0.0,0.0,0.0,163.57,3844.0,2568.0,16.66,8583.0,0.0,354.24
57,57,220535,2205359,João Costa,PI,2015,[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC,Água e Esgoto; Res Sólidos,2300.0,1500.0,1700.0,0.0,20.0,1500.0,0.0,0.0,900.0,0.0,0.0,1500.0,1286.0,1500.0,0.0,0.0,600.0,0.0,2000.0,1286.0,,702.0,1500.0,2000.0
58,58,220551,2205516,Juazeiro do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI,Água; Res Sólidos,1851.0,555.0,557.0,549.0,5.12,122.68,0.0,55.03,64.37,78.86,0.0,517.0,551.0,122.68,0.0,0.0,0.0,49.34,718.0,512.0,0.0,1631.0,0.0,100.96
59,59,220552,2205524,Júlio Borges,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2133.0,602.0,608.0,212.0,7.2,129.98,0.0,21.66,79.12,84.9,82.01,578.0,214.0,129.98,0.0,0.0,0.0,20.79,806.0,207.0,0.0,1618.0,0.0,239.93
60,60,220553,2205532,Jurema,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2525.0,768.0,768.0,765.0,8.21,155.01,0.0,73.33,78.94,103.81,0.0,732.0,765.0,155.01,0.0,0.0,0.0,68.91,1088.0,729.0,0.0,871.0,0.0,206.0
61,61,220556,2205565,Lagoa do Barro do Piauí,PI,2015,[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP,Res Sólidos,,,,,,,,,,,,,,,,,,,,,,NaN,,
62,62,220557,2205573,Lagoa de São Francisco,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
63,63,220559,2205599,Lagoa do Sítio,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
64,64,220590,2205904,Manoel Emídio,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3971.0,1144.0,1149.0,654.0,16.53,286.77,0.0,61.59,146.93,168.74,0.0,1079.0,656.0,286.77,0.0,0.0,0.0,52.11,1369.0,611.0,0.0,3263.0,0.0,172.55
65,65,220595,2205953,Marcolândia,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
66,66,220605,2206050,Massapê do Piauí,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
67,67,220635,2206357,Milton Brandão,PI,2015,[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB,Água; Res Sólidos,4758.0,1215.0,1215.0,0.0,43.0,140.0,0.0,0.0,140.0,0.0,0.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.0,0.0,0.0,1500.0,0.0,300.0
68,68,220650,2206506,Monsenhor Hipólito,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH,Água; Res Sólidos,4084.0,1337.0,1340.0,1330.0,8.78,177.59,0.0,123.78,130.92,174.34,0.0,1245.0,1333.0,177.59,0.0,0.0,0.0,114.46,1479.0,1241.0,0.0,3488.0,0.0,240.65
69,69,220665,2206654,Morro Cabeça no Tempo,PI,2015,,,,,,,,,,,,,,,,,,,,,,,,NaN,,
70,70,220670,2206704,Nazaré do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3394.0,1028.0,1029.0,952.0,10.87,177.11,0.0,122.31,142.34,166.98,0.0,993.0,953.0,177.11,0.0,0.0,0.0,111.54,1492.0,919.0,0.0,3394.0,0.0,200.89
71,71,220690,2206902,Novo Oriente do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4179.0,1402.0,1412.0,1402.0,10.31,270.17,0.0,166.09,168.7,204.9,0.0,1306.0,1412.0,270.17,0.0,0.0,0.0,150.69,1627.0,1306.0,0.0,3190.0,0.0,152.42
72,72,220700,2207009,Oeiras,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22070040] Prefeitura Municipal - PM,Água e Esgoto; Res Sólidos,22065.0,7105.0,7206.0,7095.0,69.8,1777.13,1777.13,765.02,899.81,1083.37,0.0,6626.0,7196.0,0.0,0.0,0.0,0.0,697.48,9101.0,6620.0,83.09,22065.0,0.0,876.69
73,73,220720,2207207,Padre Marcos,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4467.0,1592.0,1598.0,1590.0,10.37,283.78,283.78,132.61,141.52,207.87,0.0,1494.0,1596.0,0.0,0.0,0.0,0.0,122.67,1928.0,1493.0,11.35,2324.0,0.0,214.57
74,74,220730,2207306,Paes Landim,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL,Água; Res Sólidos,3065.0,866.0,876.0,584.0,10.97,225.07,0.0,63.62,117.13,133.03,0.0,813.0,592.0,225.07,0.0,0.0,0.0,57.13,1124.0,559.0,0.0,2323.0,0.0,212.78
75,75,220735,2207355,Pajeú do Piauí,PI,2015,[22073511] Prefeitura Municipal de Pajeu do Piauí - PMPP,Água,1650.0,450.0,600.0,400.0,5.0,100.0,13.0,30.0,40.0,40.0,0.0,480.0,480.0,27.0,0.0,0.0,0.0,0.0,500.0,480.0,0.0,1403.0,0.0,
76,76,220740,2207405,Palmeira do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1701.0,496.0,497.0,258.0,4.93,98.5,0.0,10.11,53.7,68.07,0.0,466.0,259.0,98.5,0.0,0.0,0.0,8.81,638.0,239.0,0.0,1701.0,0.0,120.12
77,77,220755,2207553,Paquetá,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,759.0,228.0,230.0,175.0,2.61,53.7,0.0,21.85,32.12,36.32,0.0,215.0,177.0,53.7,0.0,0.0,0.0,17.08,330.0,165.0,0.0,511.0,0.0,97.09
78,78,220777,2207777,Patos do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2346.0,762.0,764.0,736.0,8.71,150.18,150.18,69.56,77.07,101.38,0.0,733.0,738.0,0.0,0.0,0.0,0.0,64.92,959.0,709.0,7.61,1688.0,0.0,255.1
79,79,220780,2207801,Paulistana,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,14048.0,4475.0,4666.0,4399.0,31.46,944.63,944.63,425.48,494.26,634.91,0.0,4257.0,4590.0,0.0,0.0,0.0,0.0,378.55,5403.0,4198.0,37.79,10590.0,0.0,590.26
80,80,220785,2207850,Pavussu,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2601.0,796.0,796.0,738.0,6.51,169.04,0.0,75.79,86.32,110.71,0.0,765.0,738.0,169.04,0.0,0.0,0.0,71.79,1016.0,708.0,0.0,1736.0,0.0,125.7
