,Unnamed: 0,Código.do.Município,GEOCODIGO,Município,Estado,Ano.de.Referência,Prestadores,Serviços,QD001...Tipo.de.atendimento.da.portaria.sobre.qualidade.da.água,qteParalisacoesAno,QD003...Duração.das.paralisações..soma.das.paralisações.maiores.que.6.horas.no.ano...Horas.ano.,QD004...Quantidade.de.economias.ativas.atingidas.por.paralisações..Economias.ano.,QD006...Quantidade.de.amostras.para.cloro.residual..analisadas...Amostras.ano..,QD007...Quantidade.de.amostras.para.cloro.residual.com.resultados.fora.do.padrão..Amostras.ano.,QD008...Quantidade.de.amostras.para.turbidez..analisadas...Amostras.ano.,QD009...Quantidade.de.amostras.para.turbidez.fora.do.padrão..Amostras.ano.,QD011...Quantidades.de.extravasamentos.de.esgotos.registrados..Extravasamentos.ano..,QD012...Duração.dos.extravasamentos.registrados..Horas.ano.,QD015...Quantidade.de.economias.ativas.atingidas.por.interrupções.sistemáticas..Economias.ano.,QD016...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..Amostras.,QD017...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..com.resultados.fora.do.padrão..Amostras.,QD019...Quantidade.mínima.de.amostras.para.turbidez..obrigatórias...Amostras.ano.,QD020...Quantidade.mínima.de.amostras.para.cloro.residual..obrigatórias...Amostras.ano.,QD021...Quantidade.de.interrupções.sistemáticas..Interrupções.ano.,QD022...Duração.das.interrupções.sistemáticas..Horas.ano.,QD023...Quantidade.de.reclamações.ou.solicitações.de.serviços..Reclamações.ano.,QD024...Quantidade.de.serviços.executados..Serviços.ano.,QD025...Tempo.total.de.execução.dos.serviços..Horas.ano.,QD026...Quantidade.de.amostras.para.coliformes.totais..analisadas...Amostras.ano.,QD027...Quantidade.de.amostras.para.coliformes.totais.com.resultados.fora.do.padrão..Amostras.ano.,QD028...Quantidade.mínima.de.amostras.para.coliformes.totais..obrigatórias...Amostras.ano.,QD029...Atendimento.integral.da.portaria.518.04
10,10,220157,2201572,Belém do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,8.0,3.0,8.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,407.0,333.0,,8.0,1.0,60.0,
11,11,220170,2201705,Bertolínia,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,8.0,0.0,8.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,759.0,730.0,,8.0,0.0,60.0,
12,12,220173,2201739,Betânia do Piauí,PI,2015,[22017340] Prefeitura Municipal de Betânia do Piaui - PM,Res Sólidos,,NaN,,,,,,,,,,,,,,,,,,,,,,
13,13,220180,2201804,Bocaina,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,159.0,147.0,,0.0,0.0,60.0,
14,14,220190,2201903,Bom Jesus,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,10.0,0.0,10.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,4868.0,3149.0,,10.0,1.0,60.0,
15,15,220192,2201929,Bonfim do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,12.0,0.0,12.0,1.0,,,0.0,,,120.0,120.0,0.0,0.0,262.0,213.0,,12.0,7.0,120.0,
16,16,220198,2201988,Brejo do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,17.0,0.0,17.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,559.0,528.0,,17.0,0.0,60.0,
17,17,220202,2202026,Buriti dos Montes,PI,2015,[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM,Água; Res Sólidos,,16.0,151.0,1016.0,46.0,0.0,46.0,2.0,,,2818.0,,,46.0,46.0,21.0,146.0,138.0,138.0,295.0,46.0,2.0,46.0,
18,18,220207,2202075,Cajazeiras do Piauí,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
19,19,220209,2202091,Caldeirão Grande do Piauí,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
20,20,220210,2202109,Campinas do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,285.0,269.0,,0.0,0.0,60.0,
21,21,220211,2202117,Campo Alegre do Fidalgo,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
22,22,220213,2202133,Campo Grande do Piauí,PI,2015,[22021311] Prefeitura Municipal de Campo Grande do Piauí - PMCGP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do Piauí - PM,Água e Esgoto; Água; Res Sólidos,,0.0,0.0,0.0,12.0,12.0,12.0,12.0,,,0.0,,,72.0,72.0,0.0,0.0,292.0,245.0,,12.0,12.0,72.0,
23,23,220225,2202251,Canavieira,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,10.0,0.0,10.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,151.0,116.0,,10.0,0.0,60.0,
24,24,220230,2202307,Canto do Buriti,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,21.0,0.0,21.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,3694.0,3054.0,,21.0,0.0,60.0,
25,25,220245,2202455,Capitão Gervásio Oliveira,PI,2015,[22024511] Prefeitura Municipal de Capitão Gervásio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO,Água; Res Sólidos,,0.0,0.0,0.0,8.0,8.0,6.0,6.0,,,0.0,,,12.0,12.0,0.0,0.0,25.0,20.0,52.0,5.0,5.0,12.0,
26,26,220250,2202505,Caracol,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,20.0,1.0,20.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,701.0,477.0,,20.0,2.0,60.0,
27,27,220255,2202554,Caridade do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,180.0,180.0,0.0,0.0,87.0,74.0,,0.0,0.0,180.0,
28,28,220260,2202604,Castelo do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,30.0,0.0,30.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,1260.0,968.0,,30.0,1.0,60.0,
29,29,220275,2202752,Colônia do Gurguéia,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,20.0,0.0,20.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,356.0,258.0,,20.0,0.0,60.0,
30,30,220277,2202778,Colônia do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,9.0,0.0,9.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,593.0,531.0,,9.0,1.0,60.0,
31,31,220280,2202802,Conceição do Canindé,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,416.0,367.0,,0.0,0.0,60.0,
32,32,220285,2202851,Coronel José Dias,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,12.0,0.0,12.0,0.0,,,0.0,,,120.0,120.0,0.0,0.0,464.0,399.0,,12.0,0.0,120.0,
33,33,220310,2203107,Cristino Castro,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,29.0,0.0,29.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,1055.0,789.0,,29.0,5.0,60.0,
34,34,220320,2203206,Curimatá,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,21.0,0.0,21.0,1.0,,,0.0,,,120.0,120.0,0.0,0.0,1262.0,933.0,,21.0,0.0,120.0,
35,35,220323,2203230,Currais,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
36,36,220327,2203271,Curral Novo do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,120.0,120.0,0.0,0.0,174.0,156.0,,0.0,0.0,120.0,
37,37,220335,2203354,Dirceu Arcoverde,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,120.0,120.0,0.0,0.0,643.0,524.0,,0.0,0.0,120.0,
38,38,220340,2203404,Dom Expedito Lopes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,468.0,410.0,,0.0,0.0,60.0,
39,39,220342,2203420,Domingos Mourão,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,34.0,0.0,34.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,306.0,269.0,,34.0,1.0,60.0,
40,40,220345,2203453,Dom Inocêncio,PI,2015,[22034540] Secretaria Municipal de Obras - SMO,Res Sólidos,,NaN,,,,,,,,,,,,,,,,,,,,,,
41,41,220360,2203602,Eliseu Martins,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,20.0,0.0,20.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,791.0,635.0,,20.0,0.0,60.0,
42,42,220375,2203750,Fartura do Piauí,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
43,43,220380,2203800,Flores do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,34.0,0.0,34.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,414.0,341.0,,34.0,0.0,60.0,
44,44,220385,2203859,Floresta do Piauí,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
45,45,220415,2204154,Francisco Macedo,PI,2015,[22041540] Prefeitura Municipal de Francisco Macedo - PMFM,Res Sólidos,,NaN,,,,,,,,,,,,,,,,,,,,,,
46,46,220420,2204204,Francisco Santos,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,528.0,490.0,,0.0,0.0,60.0,
47,47,220430,2204303,Fronteiras,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,17.0,0.0,17.0,15.0,,,0.0,,,120.0,120.0,0.0,0.0,1264.0,1077.0,,17.0,2.0,120.0,
48,48,220435,2204352,Geminiano,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
49,49,220455,2204550,Guaribas,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,25.0,4.0,25.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,392.0,265.0,,25.0,7.0,60.0,
50,50,220470,2204709,Inhuma,PI,2015,[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI,Esgoto; Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,,,120.0,120.0,0.0,0.0,1578.0,1339.0,,0.0,0.0,120.0,
51,51,220480,2204808,Ipiranga do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,985.0,804.0,,0.0,0.0,60.0,
52,52,220490,2204907,Isaías Coelho,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,241.0,214.0,,0.0,0.0,60.0,
53,53,220500,2205003,Itainópolis,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,602.0,469.0,,0.0,0.0,60.0,
54,54,220510,2205102,Itaueira,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,22.0,0.0,22.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,787.0,509.0,,22.0,1.0,60.0,
55,55,220515,2205151,Jacobina do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,7.0,2.0,7.0,0.0,,,0.0,,,120.0,120.0,0.0,0.0,453.0,403.0,,7.0,3.0,120.0,
56,56,220520,2205201,Jaicós,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,7.0,3.0,7.0,0.0,,,0.0,,,120.0,120.0,0.0,0.0,1411.0,1296.0,,7.0,0.0,120.0,
57,57,220535,2205359,João Costa,PI,2015,[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC,Água e Esgoto; Res Sólidos,,3.0,18.0,200.0,150.0,32.0,150.0,18.0,0.0,0.0,200.0,,,150.0,150.0,3.0,18.0,25.0,25.0,8.0,150.0,12.0,150.0,
58,58,220551,2205516,Juazeiro do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,17.0,0.0,17.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,377.0,227.0,,17.0,1.0,60.0,
59,59,220552,2205524,Júlio Borges,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,28.0,0.0,28.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,159.0,116.0,,28.0,0.0,60.0,
60,60,220553,2205532,Jurema,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,10.0,0.0,10.0,0.0,,,0.0,,,180.0,180.0,0.0,0.0,791.0,762.0,,10.0,0.0,180.0,
61,61,220556,2205565,Lagoa do Barro do Piauí,PI,2015,[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP,Res Sólidos,,NaN,,,,,,,,,,,,,,,,,,,,,,
62,62,220557,2205573,Lagoa de São Francisco,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
63,63,220559,2205599,Lagoa do Sítio,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
64,64,220590,2205904,Manoel Emídio,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,10.0,0.0,10.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,417.0,406.0,,10.0,0.0,60.0,
65,65,220595,2205953,Marcolândia,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
66,66,220605,2206050,Massapê do Piauí,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
67,67,220635,2206357,Milton Brandão,PI,2015,[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB,Água; Res Sólidos,,25.0,100.0,500.0,116.0,15.0,116.0,10.0,,,0.0,,,168.0,168.0,0.0,0.0,48.0,48.0,45.0,140.0,95.0,168.0,
68,68,220650,2206506,Monsenhor Hipólito,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,395.0,378.0,,0.0,0.0,60.0,
69,69,220665,2206654,Morro Cabeça no Tempo,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
70,70,220670,2206704,Nazaré do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,3.0,0.0,3.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,261.0,222.0,,3.0,2.0,60.0,
71,71,220690,2206902,Novo Oriente do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,641.0,581.0,,0.0,0.0,60.0,
72,72,220700,2207009,Oeiras,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22070040] Prefeitura Municipal - PM,Água e Esgoto; Res Sólidos,Atende integralmente,0.0,0.0,0.0,81.0,0.0,81.0,0.0,0.0,0.0,0.0,,,60.0,60.0,0.0,0.0,9989.0,9695.0,,81.0,6.0,60.0,
73,73,220720,2207207,Padre Marcos,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,6.0,3.0,6.0,0.0,,,0.0,,,120.0,120.0,0.0,0.0,599.0,480.0,,6.0,2.0,120.0,
74,74,220730,2207306,Paes Landim,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,344.0,281.0,,0.0,0.0,60.0,
75,75,220735,2207355,Pajeú do Piauí,PI,2015,[22073511] Prefeitura Municipal de Pajeu do Piauí - PMPP,Água,,4.0,24.0,,2.0,0.0,2.0,0.0,,,,,,2.0,2.0,1.0,30.0,3.0,3.0,40.0,2.0,0.0,2.0,
76,76,220740,2207405,Palmeira do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,17.0,0.0,17.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,193.0,170.0,,17.0,0.0,60.0,
77,77,220755,2207553,Paquetá,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,111.0,103.0,,0.0,0.0,60.0,
78,78,220777,2207777,Patos do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,6.0,0.0,6.0,0.0,,,0.0,,,120.0,120.0,0.0,0.0,367.0,339.0,,6.0,0.0,120.0,
79,79,220780,2207801,Paulistana,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,10.0,3.0,10.0,0.0,,,0.0,,,120.0,120.0,0.0,0.0,2908.0,1872.0,,10.0,2.0,120.0,
80,80,220785,2207850,Pavussu,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,37.0,0.0,37.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,292.0,214.0,,37.0,0.0,60.0,
81,81,220790,2207900,Pedro II,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,49.0,0.0,49.0,0.0,,,0.0,,,120.0,120.0,0.0,0.0,5739.0,5097.0,,49.0,2.0,120.0,
82,82,220793,2207934,Pedro Laurentino,PI,2015,,,,NaN,,,,,,,,,,,,,,,,,,,,,,
83,83,220795,2207959,Nova Santa Rita,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,Atende integralmente,0.0,0.0,0.0,27.0,5.0,27.0,1.0,,,0.0,,,60.0,60.0,0.0,0.0,81.0,71.0,,27.0,5.0,60.0,
84,84,220800,2208007,Picos,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água e Esgoto,Atende integralmente,0.0,0.0,0.0,55.0,5.0,55.0,0.0,0.0,0.0,0.0,,,752.0,752.0,0.0,0.0,957.0,867.0,,55.0,16.0,752.0,
85,85,220810,2208106,Pimenteiras,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22081040] Prefeitura Municipal de Pimenteiras - PMP,Água; Res Sólidos,Atende integralmente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,60.0,60.0,0.0,0.0,857.0,698.0,,0.0,0.0,60.0,
