,Código.do.Município,GEOCODIGO,Município,Estado,Ano.de.Referência,Prestadores,Serviços,G06A...População.urbana.residente.do.s..município.s..com.abastecimento.de.água..Habitantes.,G06B...População.urbana.residente.do.s..município.s..com.esgotamento.sanitário..Habitantes.,G12A...População.total.residente.do.s..município.s..com.abastecimento.de.água..segundo.o.IBGE..Habitantes.,G12B...População.total.residente.do.s..município.s..com.esgotamento.sanitário..segundo.o.IBGE..Habitantes.,GE008...Quantidade.de.Sedes.municipais.atendidas.com.abastecimento.de.água..Sedes.,GE009...Quantidade.de.Sedes.municipais.atendidas.com.esgotamento.sanitário..Sedes.,GE010...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.abastecimento.de.água..Localidades.,GE011...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.esgotamento.sanitário..Localidades.,"popTotal",popUrbanaTotal
10,220157,2201572,Belém do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1691.0,,3464.0,,1.0,,0.0,,3464,1691
11,220170,2201705,Bertolínia,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3955.0,,5402.0,,1.0,,0.0,,5402,3955
12,220173,2201739,Betânia do Piauí,PI,2015,[22017340] Prefeitura Municipal de Betânia do Piaui - PM,Res Sólidos,,,,,,,,,6097,1701
13,220180,2201804,Bocaina,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1773.0,,4436.0,,1.0,,0.0,,4436,1773
14,220190,2201903,Bom Jesus,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,18945.0,,24327.0,,1.0,,0.0,,24327,18945
15,220192,2201929,Bonfim do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1682.0,,5549.0,,1.0,,0.0,,5549,1682
16,220198,2201988,Brejo do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP,Água; Res Sólidos,1434.0,,3871.0,,1.0,,0.0,,3871,1434
17,220202,2202026,Buriti dos Montes,PI,2015,[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM,Água; Res Sólidos,2486.0,,8188.0,,1.0,,51.0,,8188,2486
18,220207,2202075,Cajazeiras do Piauí,PI,2015,,,,,,,,,,,3471,1155
19,220209,2202091,Caldeirão Grande do Piauí,PI,2015,,,,,,,,,,,5674,1663
20,220210,2202109,Campinas do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1840.0,,5507.0,,1.0,,0.0,,5507,1840
21,220211,2202117,Campo Alegre do Fidalgo,PI,2015,,,,,,,,,,,4911,1281
22,220213,2202133,Campo Grande do Piauí,PI,2015,[22021311] Prefeitura Municipal de Campo Grande do Piauí - PMCGP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do Piauí - PM,Água e Esgoto; Água; Res Sólidos,1628.0,1628.0,5801.0,5801.0,1.0,1.0,10.0,0.0,5801,1628
23,220225,2202251,Canavieira,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1730.0,,3904.0,,1.0,,0.0,,3904,1730
24,220230,2202307,Canto do Buriti,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI,Água; Res Sólidos,11508.0,,20700.0,,1.0,,0.0,,20700,11508
25,220245,2202455,Capitão Gervásio Oliveira,PI,2015,[22024511] Prefeitura Municipal de Capitão Gervásio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO,Água; Res Sólidos,1201.0,,4008.0,,1.0,,0.0,,4008,1201
26,220250,2202505,Caracol,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4197.0,,10641.0,,1.0,,0.0,,10641,4197
27,220255,2202554,Caridade do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1634.0,,4994.0,,1.0,,1.0,,4994,1634
28,220260,2202604,Castelo do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC,Água; Res Sólidos,11369.0,,18160.0,,1.0,,0.0,,18160,11369
29,220275,2202752,Colônia do Gurguéia,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,5073.0,,6314.0,,1.0,,0.0,,6314,5073
30,220277,2202778,Colônia do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2677.0,,7527.0,,1.0,,0.0,,7527,2677
31,220280,2202802,Conceição do Canindé,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA,Água; Res Sólidos,2395.0,,4536.0,,1.0,,0.0,,4536,2395
32,220285,2202851,Coronel José Dias,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1511.0,,4602.0,,1.0,,0.0,,4602,1511
33,220310,2203107,Cristino Castro,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,7432.0,,10214.0,,1.0,,0.0,,10214,7432
34,220320,2203206,Curimatá,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,7321.0,,11121.0,,1.0,,0.0,,11121,7321
35,220323,2203230,Currais,PI,2015,,,,,,,,,,,4845,952
36,220327,2203271,Curral Novo do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1440.0,,5086.0,,1.0,,0.0,,5086,1440
37,220335,2203354,Dirceu Arcoverde,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2435.0,,6862.0,,1.0,,0.0,,6862,2435
38,220340,2203404,Dom Expedito Lopes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL,Água; Res Sólidos,3674.0,,6756.0,,1.0,,0.0,,6756,3674
39,220342,2203420,Domingos Mourão,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,964.0,,4290.0,,1.0,,0.0,,4290,964
40,220345,2203453,Dom Inocêncio,PI,2015,[22034540] Secretaria Municipal de Obras - SMO,Res Sólidos,,,,,,,,,9387,2049
41,220360,2203602,Eliseu Martins,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3937.0,,4807.0,,1.0,,0.0,,4807,3937
42,220375,2203750,Fartura do Piauí,PI,2015,,,,,,,,,,,5199,1369
43,220380,2203800,Flores do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2000.0,,4394.0,,1.0,,0.0,,4394,2000
44,220385,2203859,Floresta do Piauí,PI,2015,,,,,,,,,,,2515,872
45,220415,2204154,Francisco Macedo,PI,2015,[22041540] Prefeitura Municipal de Francisco Macedo - PMFM,Res Sólidos,,,,,,,,,3097,1247
46,220420,2204204,Francisco Santos,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS,Água; Res Sólidos,4193.0,,9054.0,,1.0,,0.0,,9054,4193
47,220430,2204303,Fronteiras,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF,Água; Res Sólidos,7455.0,,11372.0,,1.0,,0.0,,11372,7455
48,220435,2204352,Geminiano,PI,2015,,,,,,,,,,,5319,1181
49,220455,2204550,Guaribas,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1297.0,,4478.0,,1.0,,1.0,,4478,1297
50,220470,2204709,Inhuma,PI,2015,[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI,Esgoto; Água; Res Sólidos,7377.0,7377.0,15044.0,15044.0,1.0,1.0,1.0,0.0,15044,7377
51,220480,2204808,Ipiranga do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI,Água; Res Sólidos,5914.0,,9599.0,,1.0,,0.0,,9599,5914
52,220490,2204907,Isaías Coelho,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1907.0,,8408.0,,1.0,,0.0,,8408,1907
53,220500,2205003,Itainópolis,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2586.0,,11354.0,,1.0,,0.0,,11354,2586
54,220510,2205102,Itaueira,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI,Água; Res Sólidos,6033.0,,10828.0,,1.0,,0.0,,10828,6033
55,220515,2205151,Jacobina do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1017.0,,5682.0,,1.0,,0.0,,5682,1017
56,220520,2205201,Jaicós,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,8803.0,,18660.0,,1.0,,0.0,,18660,8803
57,220535,2205359,João Costa,PI,2015,[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC,Água e Esgoto; Res Sólidos,702.0,702.0,2965.0,2965.0,1.0,1.0,15.0,0.0,2965,702
58,220551,2205516,Juazeiro do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI,Água; Res Sólidos,1673.0,,5380.0,,1.0,,0.0,,5380,1673
59,220552,2205524,Júlio Borges,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1659.0,,5510.0,,1.0,,0.0,,5510,1659
60,220553,2205532,Jurema,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,893.0,,4657.0,,1.0,,1.0,,4657,893
61,220556,2205565,Lagoa do Barro do Piauí,PI,2015,[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP,Res Sólidos,,,,,,,,,4579,1006
62,220557,2205573,Lagoa de São Francisco,PI,2015,,,,,,,,,,,6611,2154
63,220559,2205599,Lagoa do Sítio,PI,2015,,,,,,,,,,,5047,1793
64,220590,2205904,Manoel Emídio,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3347.0,,5263.0,,1.0,,0.0,,5263,3347
65,220595,2205953,Marcolândia,PI,2015,,,,,,,,,,,8249,7082
66,220605,2206050,Massapê do Piauí,PI,2015,,,,,,,,,,,6323,951
67,220635,2206357,Milton Brandão,PI,2015,[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB,Água; Res Sólidos,1638.0,,6517.0,,1.0,,54.0,,6517,1638
68,220650,2206506,Monsenhor Hipólito,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH,Água; Res Sólidos,3577.0,,7586.0,,1.0,,0.0,,7586,3577
69,220665,2206654,Morro Cabeça no Tempo,PI,2015,,,,,,,,,,,4073,1406
70,220670,2206704,Nazaré do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3474.0,,7261.0,,1.0,,0.0,,7261,3474
71,220690,2206902,Novo Oriente do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3272.0,,6483.0,,1.0,,0.0,,6483,3272
72,220700,2207009,Oeiras,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22070040] Prefeitura Municipal - PM,Água e Esgoto; Res Sólidos,22422.0,22422.0,36329.0,36329.0,1.0,1.0,0.0,0.0,36329,22422
73,220720,2207207,Padre Marcos,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2384.0,,6748.0,,1.0,,0.0,,6748,2384
74,220730,2207306,Paes Landim,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL,Água; Res Sólidos,2383.0,,4071.0,,1.0,,0.0,,4071,2383
75,220735,2207355,Pajeú do Piauí,PI,2015,[22073511] Prefeitura Municipal de Pajeu do Piauí - PMPP,Água,1403.0,,3308.0,,1.0,,0.0,,3308,1403
76,220740,2207405,Palmeira do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1759.0,,4980.0,,1.0,,0.0,,4980,1759
77,220755,2207553,Paquetá,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,524.0,,3900.0,,1.0,,0.0,,3900,524
78,220777,2207777,Patos do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1731.0,,6257.0,,1.0,,0.0,,6257,1731
79,220780,2207801,Paulistana,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,10862.0,,20168.0,,1.0,,0.0,,20168,10862
80,220785,2207850,Pavussu,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1780.0,,3637.0,,1.0,,0.0,,3637,1780
81,220790,2207900,Pedro II,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,23004.0,,38055.0,,1.0,,0.0,,38055,23004
82,220793,2207934,Pedro Laurentino,PI,2015,,,,,,,,,,,2481,844
83,220795,2207959,Nova Santa Rita,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,721.0,,4286.0,,1.0,,0.0,,4286,721
84,220800,2208007,Picos,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água e Esgoto,60793.0,60793.0,76544.0,76544.0,1.0,1.0,0.0,0.0,76544,60793
85,220810,2208106,Pimenteiras,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22081040] Prefeitura Municipal de Pimenteiras - PMP,Água; Res Sólidos,4869.0,,11913.0,,1.0,,0.0,,11913,4869
86,220820,2208205,Pio IX,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22082040] Prefeitura Municipal de Pio Ix - PMPI,Água; Res Sólidos,5408.0,,18061.0,,1.0,,0.0,,18061,5408
87,220830,2208304,Piracuruca,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22083040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE - SMMA,Água; Res Sólidos,19671.0,,28160.0,,1.0,,0.0,,28160,19671
88,220865,2208650,Queimada Nova,PI,2015,,,,,,,,,,,8796,1189
89,220870,2208700,Redenção do Gurguéia,PI,2015,[22087011] Prefeitura Municipal de Redenção do Gurguéia - PMRG; [22087040] Prefeitura Municipal de Redenção do Gurguéia - PMRG,Esgoto; Res Sólidos,,5462.0,,8600.0,,1.0,,0.0,8600,5462
90,220887,2208874,Ribeira do Piauí,PI,2015,,,,,,,,,,,4381,1059
91,220900,2209005,Rio Grande do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4131.0,,6329.0,,1.0,,0.0,,6329,4131
92,220910,2209104,Santa Cruz do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4134.0,,6127.0,,1.0,,0.0,,6127,4134
93,220915,2209153,Santa Cruz dos Milagres,PI,2015,[22091511] Prefeitura Municipal de Santa Cruz dos Milagres - PMSCM; [22091540] SECRETARIA DE AGRICULTURA - SA,Água; Res Sólidos,2201.0,,3926.0,,1.0,,1.0,,3926,2201
94,220930,2209302,Santa Luz,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3225.0,,5719.0,,1.0,,0.0,,5719,3225
95,220935,2209351,Santana do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1792.0,,4544.0,,1.0,,0.0,,4544,1792
96,220937,2209377,Santa Rosa do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22093740] Prefeitura Municipal de Santa Rosa do Piauí - PMSR,Água; Res Sólidos,3676.0,,5178.0,,1.0,,0.0,,5178,3676
97,220940,2209401,Santo Antônio de Lisboa,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,4075.0,,6244.0,,1.0,,0.0,,6244,4075
98,220950,2209500,Santo Inácio do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2342.0,,3720.0,,1.0,,0.0,,3720,2342
99,220955,2209559,São Braz do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1035.0,,4371.0,,1.0,,0.0,,4371,1035
100,220965,2209658,São Francisco de Assis do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22096540] PREFEITURA MUNICIPAL DE SÃO FRANCISCO DE ASSIS DO PIAUÍ - PMSFA,Água; Res Sólidos,1485.0,,5786.0,,1.0,,0.0,,5786,1485
101,220970,2209708,São Francisco do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1993.0,,6329.0,,1.0,,0.0,,6329,1993
102,220985,2209856,São João da Canabrava,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22098540] PREFEITURA MUNICIPAL DE SAO JOAO DA CANABRAVA - PMSJC,Água; Res Sólidos,1255.0,,4523.0,,1.0,,1.0,,4523,1255
103,220987,2209872,São João da Fronteira,PI,2015,,,,,,,,,,,5898,2389
104,220990,2209906,São João da Serra,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,3404.0,,6081.0,,1.0,,0.0,,6081,3404
105,220995,2209955,São João da Varjota,PI,2015,[22099511] Prefeitura Municipal de São João da Varjota - PMSJV; [22099540] SECRETARIA DE SAÚDE - SSSV,Água; Res Sólidos,1418.0,,4747.0,,1.0,,24.0,,4747,1418
106,221000,2210003,São João do Piauí,PI,2015,[22100011] Prefeitura Municipal de São João do Piauí - PMSJP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Esgoto; Água,13882.0,13882.0,20146.0,20146.0,1.0,1.0,0.0,0.0,20146,13882
107,221005,2210052,São José do Divino,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,2762.0,,5246.0,,1.0,,0.0,,5246,2762
108,221010,2210102,São José do Peixe,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1887.0,,3697.0,,1.0,,0.0,,3697,1887
109,221020,2210201,São José do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1935.0,,6610.0,,1.0,,0.0,,6610,1935
110,221030,2210300,São Julião,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22103040] Prefeitura MUNICIPAL DE SÃO JULIÃO - pmsj,Água; Res Sólidos,2561.0,,6244.0,,1.0,,1.0,,6244,2561
111,221035,2210359,São Lourenço do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1130.0,,4493.0,,1.0,,0.0,,4493,1130
112,221037,2210375,São Luis do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,825.0,,2595.0,,1.0,,0.0,,2595,825
113,221039,2210391,São Miguel do Fidalgo,PI,2015,[22103940] PREFEITURA MUNICIPAL DE SÃO MIGUEL DO FIDALGO - PMSMF,Res Sólidos,,,,,,,,,2993,1091
114,221040,2210409,São Miguel do Tapuio,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,6664.0,,18105.0,,1.0,,0.0,,18105,6664
115,221060,2210607,São Raimundo Nonato,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22106040] DEPARTAMENTO DE LIMPEZA URBANA - DLU,Água; Res Sólidos,22236.0,,33802.0,,1.0,,0.0,,33802,22236
116,221063,2210631,Sebastião Leal,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22106340] Prefeitura Municipal de Sebastião Leal - PMSL,Água; Res Sólidos,1965.0,,4209.0,,1.0,,0.0,,4209,1965
117,221070,2210706,Simões,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,5782.0,,14411.0,,1.0,,0.0,,14411,5782
118,221080,2210805,Simplício Mendes,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,7369.0,,12424.0,,1.0,,0.0,,12424,7369
119,221090,2210904,Socorro do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,1626.0,,4512.0,,1.0,,1.0,,4512,1626
120,221093,2210938,Sussuapara,PI,2015,,,,,,,,,,,6545,1662
121,221095,2210953,Tamboril do Piauí,PI,2015,,,,,,,,,,,2851,1566
122,221097,2210979,Tanque do Piauí,PI,2015,,,,,,,,,,,2703,1278
123,221130,2211308,Valença do Piauí,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA,Água,15986.0,,20568.0,,1.0,,0.0,,20568,15986
124,221135,2211357,Várzea Branca,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22113540] Prefeitura Municipal de Várzea Branca - PMVB,Água; Res Sólidos,1141.0,,4889.0,,1.0,,0.0,,4889,1141
125,221150,2211506,Vera Mendes,PI,2015,,,,,,,,,,,3025,979
126,221160,2211605,Vila Nova do Piauí,PI,2015,,,,,,,,,,,2965,732
127,221170,2211704,Wall Ferraz,PI,2015,[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22117040] PREFEITURA MUNICIPAL DE WALL FERRAZ - PMWF,Água; Res Sólidos,1192.0,,4375.0,,1.0,,0.0,,4375,1192
128,230010,2300101,Abaiara,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE,Água,4925.0,,11357.0,,1.0,,0.0,,11357,4925
129,230015,2300150,Acarapé,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE,Água e Esgoto,8476.0,8476.0,16288.0,16288.0,1.0,1.0,0.0,0.0,16288,8476
130,230030,2300309,Acopiara,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23003040] Secretaria da Infraestrutura - SEINFRA,Água e Esgoto; Res Sólidos,26202.0,26202.0,53135.0,53135.0,1.0,1.0,0.0,0.0,53135,26202
131,230040,2300408,Aiuaba,CE,2015,,,,,,,,,,,16997,4145
132,230050,2300507,Alcântaras,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23005040] Prefeitura Municipal de Alcântaras - PMA,Água e Esgoto; Res Sólidos,3624.0,3624.0,11321.0,11321.0,1.0,1.0,0.0,0.0,11321,3624
133,230060,2300606,Altaneira,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE,Água e Esgoto,5310.0,5310.0,7344.0,7344.0,1.0,1.0,0.0,0.0,7344,5310
134,230070,2300705,Alto Santo,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE,Água,8295.0,,16876.0,,1.0,,0.0,,16876,8295
135,230080,2300804,Antonina do Norte,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE,Água,5173.0,,7227.0,,1.0,,1.0,,7227,5173
136,230090,2300903,Apuiarés,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23009040] PREFEITURA MUNICIPA DE APUIARES - PMA,Água; Res Sólidos,6037.0,,14565.0,,1.0,,0.0,,14565,6037
137,230110,2301109,Aracati,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23011040] SECRETARIA DE INFRAESTRUTURA E URBANISMO - SEINFRA,Água e Esgoto; Res Sólidos,46307.0,46307.0,72727.0,72727.0,1.0,1.0,9.0,1.0,72727,46307
138,230120,2301208,Aracoiaba,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE,Água,14139.0,,26134.0,,1.0,,7.0,,26134,14139
139,230125,2301257,Ararendá,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23012540] Prefeitura Municipal de Ararendá - PMA,Água; Res Sólidos,5039.0,,10775.0,,1.0,,0.0,,10775,5039
140,230130,2301307,Araripe,CE,2015,[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23013040] Prefeitura Municipal de Araripe - PMA,Água; Res Sólidos,13105.0,,21289.0,,1.0,,2.0,,21289,13105
